,,,,,,,,Playing Time,Playing Time,Playing Time,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
103,Alex Meret,it ITA,GK,Napoli,it Serie A,28,1997,11,11,979,10.9,12,1.1,33,21,63.6,9,0,2,4,36.4,2,2,0,0,0,,
104,Vanja Milinković-Savić,rs SRB,GK,Napoli,it Serie A,28,1997,27,27,2430,27,24,0.89,77,52,68.8,14,7,6,11,40.7,8,5,3,0,37.5,,
105,Horaţiu Moldovan,ro ROU,GK,Oviedo,es La Liga,27,1998,2,2,180,2,4,2,8,4,50,0,0,2,0,0,0,0,0,0,,,
106,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,29,1996,35,35,3150,35,54,1.54,142,87,62,3,11,21,5,14.3,5,2,3,0,60,,
107,Edoardo Motta,it ITA,GK,Lazio,it Serie A,20,2005,9,9,810,9,10,1.11,32,22,68.8,5,2,2,3,33.3,1,0,1,0,100,,
108,Lionel Mpasi,cd COD,GK,Le Havre,fr Ligue 1,30,1994,4,3,315,3.5,2,0.57,17,15,88.2,0,2,1,1,33.3,0,0,0,0,,,
109,Arijanet Muric,xk KVX,GK,Sassuolo,it Serie A,26,1998,32,32,2880,32,43,1.34,161,118,73.3,12,6,14,6,18.8,6,5,1,0,16.7,,
110,Juan Musso,ar ARG,GK,Atlético Madrid,es La Liga,31,1994,8,8,720,8,13,1.62,35,22,62.9,4,0,4,3,37.5,3,3,0,0,0,,
111,Yvon Mvogo,ch SUI,GK,Lorient,fr Ligue 1,31,1994,31,31,2790,31,43,1.39,119,76,63.9,10,12,9,6,19.4,5,4,0,1,0,,
112,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,39,1986,22,22,1859,20.7,20,0.97,51,31,60.8,19,3,0,7,31.8,1,1,0,0,0,,
113,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,27,1997,34,34,3060,34,53,1.56,189,136,72,9,11,14,13,38.2,5,5,0,0,0,,
114,Obed Nkambadio,fr FRA,GK,Paris FC,fr Ligue 1,22,2003,12,12,1080,12,21,1.75,47,26,55.3,3,3,6,1,8.3,4,2,1,1,33.3,,
115,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,28,1996,34,34,3060,34,49,1.44,157,107,68.8,18,8,8,11,32.4,10,9,1,0,10,,
116,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,34,1990,5,5,450,5,8,1.6,19,11,57.9,1,1,3,1,20,1,1,0,0,0,,
117,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,32,1993,30,30,2700,30,31,1.03,106,75,70.8,17,6,7,11,36.7,3,2,0,1,0,,
118,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,25,1999,30,30,2616,29.1,37,1.27,117,80,68.4,12,5,13,10,33.3,6,5,1,0,16.7,,
119,Stefan Ortega,de GER,GK,Nottingham,eng Premier League,32,1992,3,3,270,3,4,1.33,12,8,66.7,0,1,2,1,33.3,0,0,0,0,,,
120,Berke Özer,tr TUR,GK,Lille,fr Ligue 1,25,2000,32,32,2834,31.5,34,1.08,105,70,67.6,18,7,7,13,40.6,3,1,1,1,50,,
121,Daniele Padelli,it ITA,GK,Udinese,it Serie A,39,1985,2,2,180,2,2,1,5,3,60,0,1,1,0,0,1,1,0,0,0,,
122,Alex Padilla,es ESP,GK,Athletic Club,es La Liga,21,2003,1,1,90,1,4,4,8,4,50,0,0,1,0,0,0,0,0,0,,,
123,Alberto Paleari,it ITA,GK,Torino,it Serie A,32,1992,29,29,2610,29,45,1.55,127,82,64.6,10,7,12,9,31,2,2,0,0,0,,
124,Iñaki Peña,es ESP,GK,Elche,es La Liga,26,1999,16,16,1440,16,28,1.75,83,55,66.3,3,4,9,4,25,2,2,0,0,0,,
125,Mike Penders,be BEL,GK,Strasbourg,fr Ligue 1,20,2005,33,33,2970,33,47,1.42,154,107,69.5,14,8,11,8,24.2,5,4,1,0,20,,
126,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,30,1995,3,3,270,3,7,2.33,15,8,53.3,0,1,2,1,33.3,0,0,0,0,,,
127,Mattia Perin,it ITA,GK,Juventus,it Serie A,32,1992,9,9,765,8.5,9,1.06,22,13,59.1,4,3,2,3,33.3,0,0,0,0,,,
128,Lucas Perri,br BRA,GK,Leeds United,eng Premier League,27,1997,16,16,1440,16,29,1.81,67,38,56.7,4,6,6,3,18.8,4,4,0,0,0,,
129,Massimo Pessina,it ITA,GK,Bologna,it Serie A,17,2007,4,3,353,3.9,2,0.51,9,7,77.8,2,1,0,3,100,0,0,0,0,,,
130,Đorđe Petrović,rs SRB,GK,Bournemouth,eng Premier League,25,1999,38,38,3420,38,54,1.42,163,109,66.9,13,18,7,11,28.9,6,6,0,0,0,,
131,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31,1994,38,38,3420,38,50,1.32,149,99,66.4,13,10,15,11,28.9,4,3,1,0,25,,
132,Oumar Pona,fr FRA,GK,Angers,fr Ligue 1,19,2006,2,2,180,2,7,3.5,13,6,46.2,0,0,2,0,0,0,0,0,0,,,
133,Nick Pope,eng ENG,GK,Newcastle,eng Premier League,33,1992,27,27,2416,26.8,38,1.42,127,89,70.1,10,5,12,7,25.9,2,2,0,0,0,,
134,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31,1994,27,27,2430,27,27,1,116,87,76.7,8,10,9,12,44.4,4,3,1,0,25,,
135,Matheo Raab,de GER,GK,Union Berlin,de Bundesliga,26,1998,1,1,90,1,0,0,6,6,100,1,0,0,1,100,0,0,0,0,,,
136,Ionuț Radu,ro ROU,GK,Celta Vigo,es La Liga,28,1997,38,38,3420,38,48,1.26,159,111,69.8,14,12,12,10,26.3,11,6,2,3,25,,
137,Diant Ramaj,de GER,GK,Heidenheim,de Bundesliga,23,2001,31,31,2790,31,67,2.16,167,100,59.9,5,8,18,1,3.2,6,5,0,1,0,,
