,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
404,Livan Burcu,tr TUR,MFFW,Union Berlin,de Bundesliga,20,2004,7.2,1,16,3,18.8,2.21,0.41,0.06,0.33,0,0,,
405,Jan Bürger,de GER,MFDF,Wolfsburg,de Bundesliga,18,2007,2.7,0,2,1,50,0.73,0.36,0,0,0,0,,
406,Wouter Burger,nl NED,MF,Hoffenheim,de Bundesliga,24,2001,27,4,36,13,36.1,1.33,0.48,0.11,0.31,0,0,,
407,Jonathan Burkardt,de GER,FW,Frankfurt,de Bundesliga,25,2000,14.8,13,41,21,51.2,2.76,1.41,0.22,0.43,4,4,,
408,Oliver Burke,sct SCO,FWMF,Union Berlin,de Bundesliga,28,1997,18.5,6,34,15,44.1,1.84,0.81,0.18,0.4,0,0,,
409,Vincent Burlet,be BEL,DF,Lille,fr Ligue 1,19,2005,0.2,0,0,0,,0,0,,,0,0,,
410,Dan Burn,eng ENG,DF,Newcastle,eng Premier League,33,1992,24.4,1,10,3,30,0.41,0.12,0.1,0.33,0,0,,
411,Bradley Burrowes,eng ENG,MF,Aston Villa,eng Premier League,17,2008,0.2,0,0,0,,0,0,,,0,0,,
412,Marnon Busch,de GER,DFMF,Heidenheim,de Bundesliga,30,1994,21.3,1,12,3,25,0.56,0.14,0.08,0.33,0,0,,
413,Aurélio Buta,pt POR,DF,Frankfurt,de Bundesliga,28,1997,1.6,0,1,0,0,0.62,0,0,,0,0,,
414,Jean Butez,fr FRA,GK,Como,it Serie A,30,1995,38,0,0,0,,0,0,,,0,0,,
415,Jun'ai Byfield,eng ENG,DF,Tottenham,eng Premier League,16,2008,0,0,0,0,,0,0,,,0,0,,
416,Sam Byram,eng ENG,DFMF,Leeds United,eng Premier League,31,1993,0.1,0,0,0,,0,0,,,0,0,,
417,William Bøving,dk DEN,MF,Mainz 05,de Bundesliga,22,2003,2.5,0,1,0,0,0.4,0,0,,0,0,,
418,Pau Cabanes,es ESP,FW,Villarreal,es La Liga,20,2005,0.2,0,0,0,,0,0,,,0,0,,
419,Rémy Cabella,fr FRA,MFFW,Nantes,fr Ligue 1,35,1990,6.4,2,9,5,55.6,1.42,0.79,0.11,0.2,1,1,,
420,Jorge Cabello,es ESP,DF,Levante,es La Liga,21,2004,4,0,0,0,,0,0,,,0,0,,
421,Pape Cabral,fr FRA,MF,Monaco,fr Ligue 1,18,2007,0.9,0,3,2,66.7,3.51,2.34,0,0,0,0,,
422,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,34,1991,37,3,40,12,30,1.08,0.32,0.08,0.25,0,0,,
423,Anthony Caci,fr FRA,MF,Mainz 05,de Bundesliga,28,1997,5.8,0,6,0,0,1.04,0,0,,0,0,,
424,Noah Cadiou,gp GLP,MF,Lorient,fr Ligue 1,26,1998,20.9,3,19,9,47.4,0.91,0.43,0.16,0.33,0,0,,
425,Mathieu Cafaro,fr FRA,FW,Paris FC,fr Ligue 1,28,1997,1.7,0,7,1,14.3,4.14,0.59,0,0,0,0,,
426,Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,23,2001,31.1,3,27,7,25.9,0.87,0.23,0.11,0.43,0,0,,
427,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,34,1991,8.6,2,17,2,11.8,1.97,0.23,0.12,1,0,0,,
428,Arturo Calabresi,it ITA,DF,Pisa,it Serie A,29,1996,16.8,0,4,1,25,0.24,0.06,0,0,0,0,,
429,Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,23,2002,18.9,1,32,8,25,1.7,0.42,0.03,0.13,0,0,,
430,Miguel Calatayud,es ESP,DF,Mallorca,es La Liga,19,2006,0.5,0,1,0,0,2.09,0,0,,0,0,,
431,Calebe,br BRA,MF,Alavés,es La Liga,25,2000,8.4,0,5,1,20,0.6,0.12,0,0,0,0,,
432,Fernando Calero,es ESP,DF,Espanyol,es La Liga,29,1995,23.9,0,12,1,8.3,0.5,0.04,0,0,0,0,,
433,Duje Ćaleta-Car,hr CRO,DF,Real Sociedad,es La Liga,28,1996,23.9,1,13,3,23.1,0.54,0.13,0.08,0.33,0,0,,
434,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,31,1994,18.2,9,50,17,34,2.75,0.93,0.1,0.29,4,5,,
435,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,eng Premier League,28,1997,30.2,14,73,34,46.6,2.41,1.12,0.14,0.29,4,5,,
436,Dani Calvo,es ESP,DF,Oviedo,es La Liga,31,1994,17.9,0,3,0,0,0.17,0,0,,0,0,,
437,Abdoulaye Camara,fr FRA,MF,Udinese,it Serie A,16,2008,0.1,0,0,0,,0,0,,,0,0,,
438,Adama Camara,fr FRA,MFDF,Paris FC,fr Ligue 1,28,1996,24,1,17,5,29.4,0.71,0.21,0.06,0.2,0,0,,
439,Amady Camara,ml MLI,FW,Nantes,fr Ligue 1,20,2005,1.9,0,6,0,0,3.16,0,0,,0,0,,
440,Dawda Camara,mr MTN,FW,Girona,es La Liga,22,2002,0.8,0,2,1,50,2.5,1.25,0,0,0,0,,
441,Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,21,2004,20.5,3,25,4,16,1.22,0.19,0.12,0.75,0,0,,
442,Mahdi Camara,fr FRA,MF,Rennes,fr Ligue 1,27,1998,29.5,3,29,12,41.4,0.98,0.41,0.1,0.25,0,0,,
443,Ousmane Camara,ml MLI,DF,Angers,fr Ligue 1,22,2003,30.2,1,13,5,38.5,0.43,0.17,0.08,0.2,0,0,,
444,Francesco Camarda,it ITA,FW,Lecce,it Serie A,17,2008,7.6,1,16,3,18.8,2.1,0.39,0.06,0.33,0,1,,
445,Eduardo Camavinga,fr FRA,MF,Real Madrid,es La Liga,22,2002,17,1,13,2,15.4,0.77,0.12,0.08,0.5,0,0,,
446,Nicolò Cambiaghi,it ITA,MFFW,Bologna,it Serie A,24,2000,16.9,3,24,6,25,1.42,0.36,0.13,0.5,0,0,,
447,Andrea Cambiaso,it ITA,MFDF,Juventus,it Serie A,25,2000,30.8,3,26,13,50,0.85,0.42,0.12,0.23,0,0,,
448,Axel Camblan,fr FRA,FW,Brest,fr Ligue 1,21,2003,0.1,0,0,0,,0,0,,,0,0,,
449,Sergio Camello,es ESP,FWMF,Rayo Vallecano,es La Liga,24,2001,9.1,5,27,14,51.9,2.95,1.53,0.19,0.36,0,0,,
450,Cole Campbell,us USA,FW,Hoffenheim,de Bundesliga,19,2006,0.9,0,1,0,0,1.14,0,0,,0,0,,
451,Cole Campbell,us USA,FW,Dortmund,de Bundesliga,19,2006,0.2,0,1,0,0,5.29,0,0,,0,0,,
452,Emre Can,de GER,DF,Dortmund,de Bundesliga,31,1994,6.9,3,5,4,80,0.72,0.58,0,0,3,3,,
453,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,23,2002,19.2,4,41,17,41.5,2.14,0.89,0.1,0.24,0,0,,
454,João Cancelo,pt POR,DF,Barcelona,es La Liga,31,1994,10.6,2,13,4,30.8,1.23,0.38,0.15,0.5,0,0,,
455,Fali Candé,gw GNB,DF,Sassuolo,it Serie A,27,1998,5.7,0,3,0,0,0.53,0,0,,0,0,,
456,Simone Canestrelli,it ITA,DF,Pisa,it Serie A,24,2000,35.6,1,16,3,18.8,0.45,0.08,0.06,0.33,0,0,,
457,Jaydee Canvot,fr FRA,MFDF,Toulouse,fr Ligue 1,19,2006,2,0,2,0,0,1,0,0,,0,0,,
458,Jaydee Canvot,fr FRA,DF,Crystal Palace,eng Premier League,19,2006,14.8,0,7,1,14.3,0.47,0.07,0,0,0,0,,
459,Nicolás Capaldo,ar ARG,DFMF,Hamburger SV,de Bundesliga,26,1998,22.2,1,22,6,27.3,0.99,0.27,0.05,0.17,0,0,,
460,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,38,1987,7.2,0,10,1,10,1.38,0.14,0,0,0,0,,
461,Elia Caprile,it ITA,GK,Cagliari,it Serie A,23,2001,38,0,0,0,,0,0,,,0,0,,
462,Maxence Caqueret,fr FRA,MF,Como,it Serie A,25,2000,16.5,2,18,4,22.2,1.09,0.24,0.11,0.5,0,0,,
463,Antonio Caracciolo,it ITA,DF,Pisa,it Serie A,35,1990,34.1,2,25,6,24,0.73,0.18,0.08,0.33,0,0,,
464,Filippo Carbone,it ITA,MF,Genoa,it Serie A,18,2006,0.1,0,0,0,,0,0,,,0,0,,
465,Franco Carboni,it ITA,MF,Parma,it Serie A,22,2003,1.3,0,0,0,,0,0,,,0,0,,
