,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,,
1380,Sead Kolašinac,ba BIH,DF,Atalanta,it Serie A,32,1993,13.5,0,3,0,0,0.22,0,0,,0,0,,
1381,Luca Koleosho,it ITA,MF,Paris FC,fr Ligue 1,20,2004,6.2,3,17,10,58.8,2.76,1.62,0.18,0.3,0,0,,
1382,Luca Koleosho,it ITA,MF,Espanyol,es La Liga,20,2004,0.7,0,1,0,0,1.43,0,0,,0,0,,
1383,Adam Kölle,de GER,DF,Heidenheim,de Bundesliga,19,2006,1,1,2,1,50,1.94,0.97,0.5,1,0,0,,
1384,Randal Kolo Muani,fr FRA,FWMF,Tottenham,eng Premier League,26,1998,18.5,1,20,4,20,1.08,0.22,0.05,0.25,0,0,,
1385,Timothée Kolodziejczak,fr FRA,DF,Paris FC,fr Ligue 1,33,1991,7.4,0,1,1,100,0.14,0.14,0,0,0,0,,
1386,Mert Kömür,de GER,MFFW,Augsburg,de Bundesliga,20,2005,16.3,2,41,16,39,2.52,0.98,0.05,0.13,0,0,,
1387,Ibrahima Konaté,fr FRA,DF,Liverpool,eng Premier League,26,1999,34.3,1,12,4,33.3,0.35,0.12,0.08,0.25,0,0,,
1388,Samba Konaté,fr FRA,FW,RB Leipzig,de Bundesliga,16,2009,0,0,1,0,0,22.5,0,0,,0,0,,
1389,Geoffrey Kondogbia,cf CTA,MFDF,Marseille,fr Ligue 1,32,1993,6.5,0,4,1,25,0.61,0.15,0,0,0,0,,
1390,Ismaël Koné,ca CAN,MF,Sassuolo,it Serie A,23,2002,30.4,6,23,10,43.5,0.76,0.33,0.26,0.6,0,0,,
1391,Manu Koné,fr FRA,MF,Roma,it Serie A,24,2001,27.3,2,21,5,23.8,0.77,0.18,0.1,0.4,0,0,,
1392,Ransford Königsdörffer,gh GHA,FWMF,Hamburger SV,de Bundesliga,23,2001,25.9,5,65,22,33.8,2.51,0.85,0.08,0.23,0,1,,
1393,Ezri Konsa,eng ENG,DF,Aston Villa,eng Premier League,27,1997,33.7,0,11,2,18.2,0.33,0.06,0,0,0,0,,
1394,Teun Koopmeiners,nl NED,MFDF,Juventus,it Serie A,27,1998,20.3,0,28,7,25,1.38,0.34,0,0,0,0,,
1395,Ville Koski,fi FIN,DF,Alavés,es La Liga,23,2002,3.1,0,1,1,100,0.32,0.32,0,0,0,0,,
1396,Odilon Kossounou,ci CIV,DF,Atalanta,it Serie A,24,2001,11,1,5,1,20,0.46,0.09,0.2,1,0,0,,
1397,Filip Kostić,rs SRB,MF,Juventus,it Serie A,32,1992,5.3,3,9,4,44.4,1.69,0.75,0.33,0.75,0,0,,
1398,Charalampos Kostoulas,gr GRE,FW,Brighton,eng Premier League,18,2007,4.1,2,21,8,38.1,5.12,1.95,0.1,0.25,0,0,,
1399,Eddy Kouadio,ci CIV,DF,Fiorentina,it Serie A,19,2006,0.8,0,0,0,,0,0,,,0,0,,
1400,Christian Kouamé,ci CIV,FWMF,Fiorentina,it Serie A,27,1997,0.3,0,0,0,,0,0,,,0,0,,
1401,Koffi Kouao,ci CIV,DFMF,Metz,fr Ligue 1,27,1998,25.2,2,23,10,43.5,0.91,0.4,0.09,0.2,0,0,,
1402,Arsène Kouassi,bf BFA,MF,Lorient,fr Ligue 1,20,2004,28.9,2,9,5,55.6,0.31,0.17,0.22,0.4,0,0,,
1403,Christ-Owen Kouassi,fr FRA,DF,Lecce,it Serie A,22,2003,2.5,0,0,0,,0,0,,,0,0,,
1404,Konstantinos Koulierakis,gr GRE,DF,Wolfsburg,de Bundesliga,21,2003,27.6,4,26,12,46.2,0.94,0.44,0.15,0.33,0,0,,
1405,Seny Koumbassa,fr FRA,DF,Toulouse,fr Ligue 1,18,2007,4.9,1,3,1,33.3,0.61,0.2,0.33,1,0,0,,
1406,Jules Koundé,fr FRA,DF,Barcelona,es La Liga,26,1998,25.1,1,14,4,28.6,0.56,0.16,0.07,0.25,0,0,,
1407,Lancinet Kourouma,gn GUI,FW,Girona,es La Liga,21,2004,0.5,0,0,0,,0,0,,,0,0,,
1408,Hamza Koutoune,ma MAR,DF,Nice,fr Ligue 1,18,2006,0,0,0,0,,0,0,,,0,0,,
1409,Mateo Kovačić,hr CRO,MF,Manchester City,eng Premier League,31,1994,1.4,0,2,0,0,1.38,0,0,,0,0,,
1410,Goduine Koyalipou,cf CTA,FW,Angers,fr Ligue 1,25,2000,7.4,2,22,9,40.9,2.96,1.21,0.05,0.11,1,1,,
1411,Goduine Koyalipou,cf CTA,FW,Levante,es La Liga,25,2000,2.7,1,10,4,40,3.64,1.46,0.1,0.25,0,0,,
1412,Emil Krafth,se SWE,DF,Newcastle,eng Premier League,30,1994,0.5,0,0,0,,0,0,,,0,0,,
1413,Alex Král,cz CZE,MF,Union Berlin,de Bundesliga,27,1998,5.1,0,7,3,42.9,1.37,0.59,0,0,0,0,,
1414,Andrej Kramarić,hr CRO,MFFW,Hoffenheim,de Bundesliga,34,1991,24.5,14,64,33,51.6,2.61,1.35,0.14,0.27,5,5,,
1415,Vladyslav Krapyvtsov,ua UKR,GK,Girona,es La Liga,20,2005,1.5,0,0,0,,0,0,,,0,0,,
1416,Jean-Philippe Krasso,ci CIV,FW,Paris FC,fr Ligue 1,28,1997,12.1,2,27,10,37,2.23,0.82,0.04,0.1,1,1,,
1417,Tom Krauß,de GER,MFDF,Köln,de Bundesliga,24,2001,19.8,0,9,2,22.2,0.46,0.1,0,0,0,0,,
1418,Ladislav Krejčí,cz CZE,DFMF,Wolves,eng Premier League,26,1999,26.2,2,21,10,47.6,0.8,0.38,0.1,0.2,0,0,,
1419,Ladislav Krejčí,cz CZE,DF,Girona,es La Liga,26,1999,2,0,1,0,0,0.5,0,0,,0,0,,
1420,Rasmus Kristensen,dk DEN,DFMF,Frankfurt,de Bundesliga,28,1997,17.1,2,15,6,40,0.88,0.35,0.13,0.33,0,0,,
1421,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,23,2002,27.5,3,11,6,54.5,0.4,0.22,0.27,0.5,0,0,,
1422,Nikola Krstović,me MNE,FW,Atalanta,it Serie A,25,2000,19.9,10,99,34,34.3,4.97,1.71,0.1,0.29,0,0,,
1423,Lukas Kübler,de GER,DF,Freiburg,de Bundesliga,32,1992,17.6,2,19,5,26.3,1.08,0.28,0.11,0.4,0,0,,
1424,Takefusa Kubo,jp JPN,MF,Real Sociedad,es La Liga,24,2001,16.7,2,28,12,42.9,1.68,0.72,0.07,0.17,0,0,,
1425,Mohammed Kudus,gh GHA,MFFW,Tottenham,eng Premier League,24,2000,17.1,2,26,9,34.6,1.52,0.53,0.08,0.22,0,0,,
1426,Nicolas-Gerrit Kühn,de GER,MF,Como,it Serie A,25,2000,7.4,1,8,3,37.5,1.08,0.41,0.13,0.33,0,0,,
1427,Sandro Kulenović,hr CRO,FW,Torino,it Serie A,25,1999,3.3,0,5,2,40,1.5,0.6,0,0,0,0,,
1428,Sael Kumbedi,fr FRA,DFMF,Wolfsburg,de Bundesliga,20,2005,20,0,5,0,0,0.25,0,0,,0,0,,
1429,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,20,2005,0.7,0,1,0,0,1.38,0,0,,0,0,,
1430,Marash Kumbulla,al ALB,DF,Mallorca,es La Liga,25,2000,4.9,0,3,0,0,0.62,0,0,,0,0,,
1431,Jonah Kusi-Asare,se SWE,FW,Bayern Munich,de Bundesliga,18,2007,0.1,0,0,0,,0,0,,,0,0,,
1432,Jonah Kusi-Asare,se SWE,FW,Fulham,eng Premier League,18,2007,0.6,0,0,0,,0,0,,,0,0,,
1433,Khvicha Kvaratskhelia,ge GEO,FW,PSG,fr Ligue 1,24,2001,16.4,8,65,29,44.6,3.96,1.76,0.11,0.24,1,1,,
1434,Giorgi Kvilitaia,ge GEO,FW,Metz,fr Ligue 1,31,1993,5.5,2,12,7,58.3,2.18,1.27,0.17,0.29,0,0,,
1435,Godson Kyeremeh,fr FRA,FW,Le Havre,fr Ligue 1,25,2000,4.2,1,6,2,33.3,1.42,0.47,0.17,0.5,0,0,,
1436,Adrián de la Fuente,es ESP,DF,Levante,es La Liga,26,1999,30.1,3,39,9,23.1,1.29,0.3,0.05,0.22,1,3,,
1437,Rémy Labeau Lascary,gp GLP,MFFW,Brest,fr Ligue 1,22,2003,13.3,5,34,16,47.1,2.55,1.2,0.15,0.31,0,0,,
1438,Shea Lacey,eng ENG,FW,Manchester Utd,eng Premier League,18,2007,0.5,0,4,1,25,8.37,2.09,0,0,0,0,,
1439,Maxence Lacroix,fr FRA,DF,Crystal Palace,eng Premier League,25,2000,34.3,1,25,7,28,0.73,0.2,0.04,0.14,0,0,,
1440,Gael Lafont,fr FRA,FW,Genoa,it Serie A,19,2006,0.1,0,0,0,,0,0,,,0,0,,
1441,Emmanuel Lago,ci CIV,FW,Marseille,fr Ligue 1,20,2004,0.5,0,2,2,100,3.67,3.67,0,0,0,0,,
1442,Yoel Lago,es ESP,DF,Celta Vigo,es La Liga,21,2004,10.4,0,1,0,0,0.1,0,0,,0,0,,
1443,Mayckel Lahdo,se SWE,FWMF,Nantes,fr Ligue 1,22,2002,4.6,1,3,1,33.3,0.65,0.22,0.33,1,0,0,,
1444,Konrad Laimer,at AUT,DF,Bayern Munich,de Bundesliga,28,1997,22.2,3,17,8,47.1,0.77,0.36,0.18,0.38,0,0,,
1445,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,33,1991,31,0,8,1,12.5,0.26,0.03,0,0,0,0,,
1446,Ugo Lamare,fr FRA,FW,Marseille,fr Ligue 1,18,2007,0.2,0,1,0,0,5.29,0,0,,0,0,,
1447,Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23,2002,32,0,0,0,,0,0,,,0,0,,
1448,Tariq Lamptey,gh GHA,MF,Fiorentina,it Serie A,24,2000,0.3,0,0,0,,0,0,,,0,0,,
1449,Noa Lang,nl NED,FWMF,Napoli,it Serie A,26,1999,7.4,1,9,4,44.4,1.22,0.54,0.11,0.25,0,0,,
1450,Aymeric Laporte,es ESP,DF,Athletic Club,es La Liga,31,1994,22.9,0,15,5,33.3,0.66,0.22,0,0,0,0,,
1451,Hugo Larsson,se SWE,MF,Frankfurt,de Bundesliga,21,2004,20.1,2,13,6,46.2,0.65,0.3,0.15,0.33,0,0,,
1452,Jamaal Lascelles,eng ENG,DF,Newcastle,eng Premier League,31,1993,0.2,0,1,0,0,4.29,0,0,,0,0,,
1453,Toni Lato,es ESP,DFMF,Mallorca,es La Liga,27,1997,6.5,0,0,0,,0,0,,,0,0,,
1454,Josh Laurent,eng ENG,DFMF,Burnley,eng Premier League,30,1995,19.6,1,15,4,26.7,0.77,0.2,0.07,0.25,0,0,,
1455,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,26,1998,28.8,7,71,26,36.6,2.47,0.9,0.1,0.27,0,0,,
1456,Matteo Lavelli,it ITA,FW,Inter,it Serie A,18,2006,0.1,0,0,0,,0,0,,,0,0,,
1457,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,21,2004,4.2,0,3,0,0,0.71,0,0,,0,0,,
1458,Valentino Lazaro,at AUT,MF,Torino,it Serie A,29,1996,25,0,8,2,25,0.32,0.08,0,0,0,0,,
1459,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,31,1993,10.4,0,4,2,50,0.38,0.19,0,0,0,0,,
1460,Andréa Le Borgne,fr FRA,MF,Como,it Serie A,19,2006,0,0,0,0,,0,0,,,0,0,,
1461,Théo Le Bris,fr FRA,MF,Lorient,fr Ligue 1,22,2002,21,2,17,7,41.2,0.81,0.33,0.12,0.29,0,0,,
1462,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,27,1997,3.6,1,5,2,40,1.37,0.55,0.2,0.5,0,0,,
1463,Enzo Le Fée,fr FRA,MFFW,Sunderland,eng Premier League,25,2000,32.6,5,36,12,33.3,1.11,0.37,0.06,0.17,3,4,,
1464,Raphael Le Guen,fr FRA,DF,Brest,fr Ligue 1,18,2006,4.2,0,4,1,25,0.96,0.24,0,0,0,0,,
1465,Robin Le Normand,es ESP,DF,Atlético Madrid,es La Liga,28,1996,19.9,1,6,1,16.7,0.3,0.05,0.17,1,0,0,,
1466,Nicola Leali,it ITA,GK,Genoa,it Serie A,32,1993,20.5,0,0,0,,0,0,,,0,0,,
1467,Rafael Leão,pt POR,FW,Milan,it Serie A,26,1999,20.6,9,63,24,38.1,3.06,1.17,0.11,0.29,2,2,,
1468,Pierre Lees-Melou,fr FRA,MF,Paris FC,fr Ligue 1,32,1993,19.8,1,27,6,22.2,1.36,0.3,0.04,0.17,0,0,,
1469,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,32,1993,2,0,4,0,0,2,0,0,,0,0,,
1470,Jordan Lefort,mr MTN,DF,Angers,fr Ligue 1,31,1993,34,0,11,2,18.2,0.32,0.06,0,0,0,0,,
1471,Alexander Legendre,ec ECU,MF,Rennes,fr Ligue 1,17,2008,0.5,0,1,0,0,2,0,0,,0,0,,
1472,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,26,1999,21.8,0,10,1,10,0.46,0.05,0,0,0,0,,
1473,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,27,1998,1.8,0,1,0,0,0.56,0,0,,0,0,,
1474,Álvaro Leiva,es ESP,FW,Real Madrid,es La Liga,22,2002,0,0,0,0,,0,0,,,0,0,,
1475,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,34,1991,35.9,2,50,18,36,1.39,0.5,0.04,0.11,0,0,,
1476,Youssef Lekhedim,es ESP,DFMF,Alavés,es La Liga,19,2005,14.8,0,11,3,27.3,0.74,0.2,0,0,0,0,,
1477,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,32,1993,6.7,0,3,1,33.3,0.45,0.15,0,0,0,0,,
1478,Thomas Lemar,fr FRA,MF,Girona,es La Liga,29,1995,14,3,17,8,47.1,1.22,0.57,0.18,0.38,0,0,,
1479,Félix Lemaréchal,fr FRA,MFFW,Strasbourg,fr Ligue 1,21,2003,6.2,0,10,2,20,1.62,0.32,0,0,0,0,,
1480,Louis Lemke,de GER,DF,Hamburger SV,de Bundesliga,15,2009,0,0,0,0,,0,0,,,0,0,,
1481,Tim Lemperle,de GER,FW,Hoffenheim,de Bundesliga,23,2002,21.6,8,53,21,39.6,2.45,0.97,0.13,0.33,1,1,,
1482,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,22,2003,0,0,0,0,,0,0,,,0,0,,
1483,Clément Lenglet,fr FRA,DF,Atlético Madrid,es La Liga,30,1995,15.5,0,5,0,0,0.32,0,0,,0,0,,
1484,Bernd Leno,de GER,GK,Fulham,eng Premier League,33,1992,38,0,0,0,,0,0,,,0,0,,
1485,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,32,1992,27.3,0,0,0,,0,0,,,0,0,,
1486,Esteban Lepaul,fr FRA,FW,Angers,fr Ligue 1,25,2000,1.9,1,3,1,33.3,1.55,0.52,0.33,1,0,0,,
1487,Esteban Lepaul,fr FRA,FW,Rennes,fr Ligue 1,25,2000,27.9,20,84,37,44,3.01,1.33,0.2,0.46,3,4,,
1488,Johann Lepenant,fr FRA,MF,Nantes,fr Ligue 1,22,2002,24.1,0,22,7,31.8,0.91,0.29,0,0,0,0,,
1489,Mehdi Léris,dz ALG,MF,Pisa,it Serie A,27,1998,21.1,2,25,7,28,1.18,0.33,0.08,0.29,0,0,,
1490,Jefferson Lerma,co COL,MFDF,Crystal Palace,eng Premier League,30,1994,19.3,0,19,7,36.8,0.99,0.36,0,0,0,0,,
1491,Louis Leroux,fr FRA,MFDF,Nantes,fr Ligue 1,19,2006,16,1,15,3,20,0.94,0.19,0.07,0.33,0,0,,
1492,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,36,1988,18.5,14,63,29,46,3.41,1.57,0.21,0.45,1,3,,
1493,Jamie Leweling,de GER,MF,Stuttgart,de Bundesliga,24,2001,26.3,7,49,18,36.7,1.86,0.68,0.14,0.39,0,0,,
1494,Rico Lewis,eng ENG,DF,Manchester City,eng Premier League,20,2004,4.5,0,3,0,0,0.66,0,0,,0,0,,
1495,Keane Lewis-Potter,eng ENG,DFMF,Brentford,eng Premier League,24,2001,21.9,3,31,9,29,1.41,0.41,0.1,0.33,0,0,,
1496,Myles Lewis-Skelly,eng ENG,MFDF,Arsenal,eng Premier League,18,2006,7.9,0,2,0,0,0.25,0,0,,0,0,,
1497,Luca Lezzerini,it ITA,GK,Fiorentina,it Serie A,30,1995,0,0,0,0,,0,0,,,0,0,,
1498,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,29,1996,14.5,1,8,2,25,0.55,0.14,0.13,0.5,0,0,,
1499,Matthijs de Ligt,nl NED,DF,Manchester Utd,eng Premier League,25,1999,13,1,11,3,27.3,0.85,0.23,0.09,0.33,0,0,,
1500,Pedro Lima,br BRA,MF,Wolves,eng Premier League,19,2006,2.9,0,4,1,25,1.38,0.35,0,0,0,0,,
1501,Victor Lindelöf,se SWE,DFMF,Aston Villa,eng Premier League,31,1994,10.5,0,3,0,0,0.28,0,0,,0,0,,
1502,Jesper Lindstrøm,dk DEN,MF,Wolfsburg,de Bundesliga,25,2000,4.2,0,9,5,55.6,2.14,1.19,0,0,0,0,,
1503,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,20,2005,11.5,0,12,3,25,1.04,0.26,0,0,0,0,,
1504,Pol Lirola,es ESP,MF,Hellas Verona,it Serie A,27,1997,3.4,0,0,0,,0,0,,,0,0,,
1505,Pol Lirola,es ESP,DFMF,Marseille,fr Ligue 1,27,1997,0.4,0,0,0,,0,0,,,0,0,,
1506,Adrián Liso,es ESP,FWMF,Getafe,es La Liga,20,2005,18.9,3,26,10,38.5,1.37,0.53,0.12,0.3,0,0,,
1507,Joseph Liteta,zm ZAM,MF,Cagliari,it Serie A,19,2006,2.9,0,0,0,,0,0,,,0,0,,
1508,Tino Livramento,eng ENG,DF,Newcastle,eng Premier League,22,2002,14.8,0,3,0,0,0.2,0,0,,0,0,,
1509,Marin Ljubicic,hr CRO,FW,Union Berlin,de Bundesliga,23,2002,0.2,2,2,2,100,8.18,8.18,1,1,0,0,,
1510,Javier Llabrés,es ESP,MF,Mallorca,es La Liga,22,2002,2.1,0,5,2,40,2.41,0.96,0,0,0,0,,
1511,Diego Llorente,es ESP,DF,Real Betis,es La Liga,31,1993,13.7,1,4,3,75,0.29,0.22,0.25,0.33,0,0,,
1512,Marcos Llorente,es ESP,DFMF,Atlético Madrid,es La Liga,30,1995,24.2,0,18,6,33.3,0.74,0.25,0,0,0,0,,
1513,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,30,1995,26.6,1,12,4,33.3,0.45,0.15,0.08,0.25,0,0,,
1514,Giovani Lo Celso,ar ARG,MF,Real Betis,es La Liga,29,1996,15.5,2,30,11,36.7,1.94,0.71,0.07,0.18,0,0,,
1515,Danny Loader,cm CMR,MFFW,Auxerre,fr Ligue 1,24,2000,28,3,62,17,27.4,2.22,0.61,0.05,0.18,0,0,,
1516,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,30,1994,27,1,8,4,50,0.3,0.15,0.13,0.25,0,0,,
1517,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,27,1998,33.3,1,46,12,26.1,1.38,0.36,0.02,0.08,0,1,,
1518,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,23,2002,14.3,0,2,1,50,0.14,0.07,0,0,0,0,,
1519,Ruben Loftus-Cheek,eng ENG,MFFW,Milan,it Serie A,29,1996,12.6,3,29,6,20.7,2.3,0.48,0.1,0.5,0,0,,
1520,Sean Longstaff,eng ENG,MF,Leeds United,eng Premier League,27,1997,11.2,2,16,4,25,1.42,0.36,0.13,0.5,0,0,,
1521,Ademola Lookman,ng NGA,FWMF,Atalanta,it Serie A,27,1997,8.8,2,27,8,29.6,3.06,0.91,0.07,0.25,0,0,,
1522,Ademola Lookman,ng NGA,FWMF,Atlético Madrid,es La Liga,27,1997,6.9,4,21,5,23.8,3.06,0.73,0.14,0.6,1,1,,
1523,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,34,1990,31,0,2,0,0,0.06,0,0,,0,0,,
1524,David López,es ESP,DF,Girona,es La Liga,35,1989,3.3,0,1,1,100,0.31,0.31,0,0,0,0,,
1525,David López,es ESP,DF,Mallorca,es La Liga,22,2003,9.3,0,4,0,0,0.43,0,0,,0,0,,
1526,Diego López,es ESP,MFFW,Valencia,es La Liga,23,2002,19.6,4,28,8,28.6,1.43,0.41,0.14,0.5,0,0,,
1527,Fer López,es ESP,MF,Wolves,eng Premier League,21,2004,2.6,0,5,1,20,1.91,0.38,0,0,0,0,,
1528,Fer López,es ESP,MFFW,Celta Vigo,es La Liga,21,2004,13,1,13,5,38.5,1,0.38,0.08,0.2,0,0,,
1529,Fermin López,es ESP,MF,Barcelona,es La Liga,22,2003,20,6,68,25,36.8,3.41,1.25,0.09,0.24,0,0,,
1530,Hugo López,es ESP,MF,Villarreal,es La Liga,18,2007,0.6,0,0,0,,0,0,,,0,0,,
1531,Javi López,es ESP,DF,Oviedo,es La Liga,23,2002,19,0,7,1,14.3,0.37,0.05,0,0,0,0,,
1532,Julien López,dz ALG,FWMF,Paris FC,fr Ligue 1,33,1992,0.5,0,0,0,,0,0,,,0,0,,
1533,Maxime Lopez,fr FRA,MF,Paris FC,fr Ligue 1,27,1997,21.8,0,13,6,46.2,0.6,0.28,0,0,0,0,,
1534,Pau López,es ESP,GK,Real Betis,es La Liga,30,1994,9,0,0,0,,0,0,,,0,0,,
1535,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,29,1995,17.9,0,22,4,18.2,1.23,0.22,0,0,0,0,,
1536,Dachi Lordkipanidze,ge GEO,MF,Cremonese,it Serie A,20,2005,0.3,0,0,0,,0,0,,,0,0,,
1537,Lorran,br BRA,FW,Pisa,it Serie A,19,2006,1.4,1,3,1,33.3,2.21,0.74,0.33,1,0,0,,
1538,Iker Losada,es ESP,MF,Levante,es La Liga,23,2001,10,3,14,4,28.6,1.4,0.4,0.21,0.75,0,0,,
1539,Simone Lottici Tessadri,it ITA,MF,Cremonese,it Serie A,19,2006,0.1,0,1,0,0,15,0,0,,0,0,,
1540,Tom Louchet,fr FRA,MF,Nice,fr Ligue 1,22,2003,15.2,3,21,6,28.6,1.38,0.4,0.14,0.5,0,0,,
1541,Marius Louer,fr FRA,DF,Angers,fr Ligue 1,18,2007,6,0,0,0,,0,0,,,0,0,,
1542,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,27,1998,1.8,0,3,1,33.3,1.68,0.56,0,0,0,0,,
1543,Sandi Lovrić,si SVN,MF,Hellas Verona,it Serie A,27,1998,3.4,0,2,1,50,0.58,0.29,0,0,0,0,,
1544,Felipe Loyola,cl CHI,MF,Pisa,it Serie A,24,2000,6,1,9,1,11.1,1.51,0.17,0.11,1,0,0,,
1545,Pol Lozano,es ESP,MF,Espanyol,es La Liga,25,1999,24,2,17,5,29.4,0.71,0.21,0.12,0.4,0,0,,
1546,Sergio Lozano,es ESP,MF,Levante,es La Liga,26,1999,0.1,0,0,0,,0,0,,,0,0,,
1547,Lucas,br BRA,MFDF,Burnley,eng Premier League,24,2001,15.7,0,16,4,25,1.02,0.26,0,0,0,0,,
1548,Lorenzo Lucca,it ITA,FW,Napoli,it Serie A,24,2000,4.5,1,15,5,33.3,3.31,1.1,0.07,0.2,0,0,,
1549,Lorenzo Lucca,it ITA,FW,Nottingham,eng Premier League,24,2000,1.4,1,4,1,25,2.79,0.7,0.25,1,0,0,,
1550,Dimitri Lucea,fr FRA,DF,PSG,fr Ligue 1,18,2007,0.7,0,0,0,,0,0,,,0,0,,
1551,Jhon Lucumí,co COL,DF,Bologna,it Serie A,27,1998,25.4,1,8,2,25,0.31,0.08,0.13,0.5,0,0,,
1552,Oier Luengo,es ESP,DF,Oviedo,es La Liga,27,1997,2.5,0,1,0,0,0.4,0,0,,0,0,,
1553,Florentino Luís,pt POR,MF,Burnley,eng Premier League,25,1999,23.4,0,13,2,15.4,0.56,0.09,0,0,0,0,,
1554,José Luis Gayà,es ESP,DF,Valencia,es La Liga,30,1995,27.2,1,13,3,23.1,0.48,0.11,0.08,0.33,0,0,,
1555,José Luis Morales,es ESP,MF,Levante,es La Liga,38,1987,4,1,11,4,36.4,2.73,0.99,0,0,1,1,,
1556,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,27,1998,6.7,1,6,4,66.7,0.89,0.6,0.17,0.25,0,0,,
1557,Douglas Luiz,br BRA,MF,Nottingham,eng Premier League,27,1998,3.5,0,5,1,20,1.43,0.29,0,0,0,0,,
1558,Romelu Lukaku,be BEL,FW,Napoli,it Serie A,32,1993,0.5,1,2,1,50,4.09,2.05,0.5,1,0,0,,
1559,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,22,2002,24.2,1,8,2,25,0.33,0.08,0.13,0.5,0,0,,
1560,Dodi Lukebakio,be BEL,MF,Sevilla,es La Liga,27,1997,2,1,2,1,50,1,0.5,0.5,1,0,0,,
1561,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,28,1996,19.3,1,18,6,33.3,0.93,0.31,0.06,0.17,0,0,,
1562,Kristoffer Lund,us USA,DFMF,Köln,de Bundesliga,23,2002,25.3,0,20,3,15,0.79,0.12,0,0,0,0,,
1563,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,26,1999,6,0,0,0,,0,0,,,0,0,,
1564,Sebastiano Luperto,it ITA,DF,Cremonese,it Serie A,28,1996,14.5,0,5,2,40,0.34,0.14,0,0,0,0,,
1565,Sebastiano Luperto,it ITA,DF,Cagliari,it Serie A,28,1996,19,1,7,3,42.9,0.37,0.16,0.14,0.33,0,0,,
1566,Iker Luque,es ESP,DF,Atlético Madrid,es La Liga,20,2005,0.3,1,3,2,66.7,9.64,6.43,0.33,0.5,0,0,,
1567,Mateus Lusuardi,br BRA,DF,Pisa,it Serie A,21,2004,2.2,0,4,0,0,1.82,0,0,,0,0,,
1568,Zito Luvumbo,ao ANG,FWMF,Mallorca,es La Liga,23,2002,5.6,0,9,7,77.8,1.59,1.24,0,0,0,0,,
1569,Zito Luvumbo,ao ANG,MFFW,Cagliari,it Serie A,23,2002,3.7,0,12,6,50,3.28,1.64,0,0,0,0,,
1570,Babis Lykogiannis,gr GRE,DF,Bologna,it Serie A,31,1993,7,0,7,2,28.6,1,0.29,0,0,0,0,,
1571,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,26,1999,30.6,0,25,4,16,0.82,0.13,0,0,0,0,,
1572,Mathias Løvik,no NOR,MF,Parma,it Serie A,21,2003,5.2,0,3,0,0,0.57,0,0,,0,0,,
1573,Ian Maatsen,nl NED,DF,Aston Villa,eng Premier League,23,2002,17.8,0,20,5,25,1.12,0.28,0,0,0,0,,
1574,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,26,1998,29.5,2,52,12,23.1,1.76,0.41,0.04,0.17,0,0,,
1575,Tommaso Macchioni,it ITA,DF,Sassuolo,it Serie A,19,2006,1,0,1,0,0,1,0,0,,0,0,,
1576,Deiver Machado,co COL,DFMF,Nantes,fr Ligue 1,31,1993,10.1,0,7,1,14.3,0.69,0.1,0,0,0,0,,
1577,Deiver Machado,co COL,MF,Lens,fr Ligue 1,31,1993,3,0,6,1,16.7,1.98,0.33,0,0,0,0,,
1578,Koki Machida,jp JPN,DF,Hoffenheim,de Bundesliga,27,1997,0.5,0,0,0,,0,0,,,0,0,,
